co_code|company_name|owner_code|owner_gp_name|co_industry_gp_code|co_industry_name|incorporation_year|nse_symbol|bse_scrip_id
21755|ASHIRWAD STEELS & INDS. LTD.|020101030702|MSP Group|0102040000000000|Other fund based financial services|1986|NA|ASHSI
21844|ASHISH POLYPLAST LTD.|020102000000|Private (Indian)|0101012045010000|Plastic tubes, pipes, fittings & sheets|1994|NA|ASHISHPO
21943|LESHA INDUSTRIES LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1992|NA|LESHAIND
21949|ASHNOOR TEXTILE MILLS LTD.|020101030454|Gupta Carpet Group|0101011590000000|Other textiles|1984|NA|ASHNOOR
21964|ASHOK ALCO-CHEM LTD.|020101030152|Ashok (Kadakia) Group|0101040401000000|Wholesale trading|1992|ASHOKALCO|ASHOKALC
22011|ASHOK FASHIONS LTD.|020102000000|Private (Indian)|0101011505000000|Cloth|1989|NA|ASHOK FASH.
22101|ASHOK LEYLAND FINANCE LTD. [MERGED]|020201010300|Hinduja (Ashok Leyland) Group|0102031500000000|Other asset financing services|1982|ASHKLEYFIN|ASHOKLEYFIN
22104|ASHOK LEYLAND LTD.|020201010300|Hinduja (Ashok Leyland) Group|0101014502010500|Commercial vehicles|1948|ASHOKLEY|ASHOKLEY
22138|KUMAKA INDUSTRIES LTD.|020101030152|Ashok (Kadakia) Group|0101043500000000|Diversified non-financial services|1973|ASHOKORG|KUMAKAIND
22247|ASHOKA BUILDCON LTD.|020102000000|Private (Indian)|0101060203000000|Infrastructural construction|1993|ASHOKA|ASHOKA
22322|ASHOKA REFINERIES LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1991|NA|ASHOKRE
22398|ASHRAM ONLINE.COM LTD.|020101031018|Tatia Group|0101040405000000|Retail trading|1991|TATIASKYLN|ASHRAM
22488|TRIDEV INFRAESTATES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1988|NA|ASHUTPM
22639|ASIA AUTOMOTIVE LTD.|020101030132|Anand D.C. Group|0101014005150000|Miscellaneous electrical machinery|1979|NA|ASIA AUTO
22644|ASIA CAPITAL LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1983|NA|ASIACAP
22651|NINE MEDIA & INFORMATION SERVICES LTD.|020101030242|Dalal Street Journal Group|0102040000000000|Other fund based financial services|1994|NA|ASIACORP SEC
22659|BLACK ROSE INDS. LTD.|020202000000|Private (Foreign)|0101040401000000|Wholesale trading|1990|NA|BLACKROSE
22686|ASIA PACIFIC FINANCIAL SERVICES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1988|NA|ASIA PAC.FIN
22694|ASIA PACIFIC INVST. TRUST LTD.|020102000000|Private (Indian)|0102031500000000|Other asset financing services|1983|NA|ASIA PAC.INV
22701|ASIA PACK LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1985|NA|ASIAPAK
22709|ASIA REFINERY LTD.|020102000000|Private (Indian)|0101012050050000|Lubricants, etc.|1991|NA|ASIAREF
22745|ASIAN AGALITE (INDIA) LTD.|020102000000|Private (Indian)|0101020300000000|Minerals|1992|NA|ASIAN AGALIT
22750|ASIAN AGRO FARMS INDIA LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1961|NA|NA
22753|ASIAN ALLOYS LTD.|020102000000|Private (Indian)|0101013501100000|Steel|1985|ASIANALLOY|ASIANAL-B
22760|ASIAN BEARING LTD.|020402000000|State and Private sector|0101014001010000|General purpose machinery|1974|NA|ASIANBRG
22765|ASIAN CABLES & INDS. LTD. [MERGED]|020101010600|RPG Enterprises Group|0101014005010000|Wires & cables|1901|ASIANCABLE|ASIAN CABLE
22773|RELIGARE TECHNOVA GLOBAL SOLUTIONS LTD. [MERGED]|020101014900|Ranbaxy Group|0101040801000000|Computer software|1994|NA|RELIGLOBE
22776|ASIAN CLOSURES LTD. [MERGED]|020101030154|Asian Consolidated Group|0101013501500000|Other ferrous metal products|1985|NA|ASIAN CLOS.
22778|ASIAN COFFEE LTD. [MERGED]|020101010100|Tata Group|0101011101100000|Coffee|1985|ASIANCOFFE|ASINCOF
22782|ASIAN CONSOLIDATED INDS. LTD.|020101030154|Asian Consolidated Group|0101013505010000|Aluminium & aluminium products|1985|ASIANCONSO|ASIAN CONSOL
22793|ASIAN ELECTRONICS LTD.|020102000000|Private (Indian)|0101014010900000|Other electronics|1964|ASIANELEC|ASIANELEC
22800|ASIAN FERTILIZERS LTD.|020102000000|Private (Indian)|0101012090000000|Other chemical products|1986|NA|ASIANFR
22807|ASIAN FLORA LTD.|020102000000|Private (Indian)|0101011110000000|Floriculture|1994|NA|ASFLORA
22808|ASIAN FOOD PRODUCTS LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1968|NA|ASIFOOD
22819|ASIAN HOTELS (NORTH) LTD.|020101020228|Jatia Group|0101040101000000|Hotels & restaurants|1980|ASIANHOTNR|ASIANHOTNR
22823|KOHINOOR TECHNO ENGINEERS LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1991|NA|KOHINOORT
22825|ASIAN INDUSTRIES & ENTERPRISES SA LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1983|NA|ASIAN INDUST
22839|ASIAN LAKTO INDS. LTD.|020102000000|Private (Indian)|0101011101701000|Processed foods|1994|NA|ASIAN LAKTO
22855|ASIAN ENERGY SERVICES LTD.|020202000000|Private (Foreign)|0101060201000000|Industrial construction|1992|ASIANENE|ASIANENE
22859|ASIAN PAINTS LTD.|020101020120|Asian Paints Group|0101013030000000|Paints & varnishes|1945|ASIANPAINT|ASIANPAINT
22873|ASIAN PETROPRODUCTS & EXPORTS LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1991|NA|ASINPET
22896|ASIAN STAR CO. LTD.|020102000000|Private (Indian)|0101012520000000|Gems & jewellery|1995|NA|ASTAR
22900|ASIAN TEA & EXPORTS LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1987|NA|ASIANTNE
22905|ASIAN TRACTORS LTD.|020102000000|Private (Indian)|0101014001250000|Agricultural machinery|1987|NA|ASIAN TRACT.
22910|ASIAN VEGPRO INDS. LTD.|020102000000|Private (Indian)|0101041505000000|Storage & distribution|1994|NA|ASIANVE
22921|GLOBAL INFRATECH & FINANCE LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1995|NA|GBLINFRA
22938|ASIATIC FOOD (EXPORTS) LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1994|NA|ASIATIC FOOD
22943|ASIATIC INFRASTRUCTURE & SHELTERS LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1994|NA|ASIATIC INF.
22949|ASIATIC PROPERTIES LTD.|020102000000|Private (Indian)|0101060101000000|Housing construction|1982|NA|ASIATIC PROP
23002|SHREEJAL INFO HUBS LTD.|020102000000|Private (Indian)|0101040802000000|ITES|1962|NA|SHREEJAL
23033|ASLO STEEL LTD.|020102000000|Private (Indian)|0101013501150000|Castings & forgings|1985|NA|ASLO STEEL
23150|ASPINWALL & CO. LTD.|020101030156|Aspinwall Group|0110000000000000|Diversified|1920|ASPINWALL|NA
